Group Of ShortName,SectionEstimate,v2_61,v2_73,v2_81,v2_9,Code,CodeList
,,,,,,49,"""COLOMBIA"""
,,,,,,50,"""COMOROS"""
,,,,,,51,"""CONGO"""
,,,,,,52,"""COOK ISLANDS"""
,,,,,,53,"""COSTA RICA"""
,,,,,,54,"""CÔTE D'IVOIRE"""
,,,,,,55,"""CROATIA"""
,,,,,,56,"""CUBA"""
,,,,,,57,"""CYPRUS"""
,,,,,,58,"""CZECH REPUBLIC"""
,,,,,,59,"""DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA"""
,,,,,,60,"""DEMOCRATIC REPUBLIC OF THE CONGO"""
,,,,,,61,"""DENMARK"""
,,,,,,62,"""DJIBOUTI"""
,,,,,,63,"""DOMINICA"""
,,,,,,64,"""DOMINICAN REPUBLIC"""
,,,,,,65,"""EAST TIMOR"""
,,,,,,66,"""ECUADOR"""
,,,,,,67,"""EGYPT"""
,,,,,,68,"""EL SALVADOR"""
,,,,,,69,"""EQUATORIAL GUINEA"""
,,,,,,70,"""ERITREA"""
,,,,,,71,"""ESTONIA"""
,,,,,,72,"""ETHIOPIA"""
,,,,,,73,"""FAEROE ISLANDS"""
,,,,,,74,"""FALKLAND ISLANDS (MALVINAS)"""
,,,,,,75,"""FIJI"""
,,,,,,76,"""FINLAND"""
,,,,,,77,"""FRANCE"""
,,,,,,78,"""FRANCE, METROPOLITAN"""
,,,,,,79,"""FRENCH GUIANA"""
,,,,,,80,"""FRENCH POLYNESIA"""
,,,,,,81,"""FRENCH SOUTHERN TERRITORIES"""
,,,,,,82,"""GABON"""
,,,,,,83,"""GAMBIA"""
,,,,,,84,"""GEORGIA"""
,,,,,,85,"""GERMANY"""
,,,,,,86,"""GHANA"""
,,,,,,87,"""GIBRALTAR"""
,,,,,,88,"""GREECE"""
,,,,,,89,"""GREENLAND"""
,,,,,,90,"""GRENADA"""
,,,,,,91,"""GUADELOUPE"""
,,,,,,92,"""GUAM"""
,,,,,,93,"""GUATEMALA"""
,,,,,,94,"""GUERNSE"""
,,,,,,95,"""GUINEA"""
,,,,,,96,"""GUINEA-BISSAU"""
,,,,,,97,"""GUYANA"""
,,,,,,98,"""HAITI"""
,,,,,,99,"""HEARD AND MC DONALD ISLANDS"""
,,,,,,100,"""HOLY SEE"""
,,,,,,101,"""HONDURAS"""
,,,,,,102,"""HONG KONG SPECIAL ADMINISTRATIVE REGION OF CHINA"""
,,,,,,103,"""HUNGARY"""
,,,,,,104,"""ICELAND"""
,,,,,,105,"""INDIA"""
,,,,,,106,"""INDONESIA"""
,,,,,,107,"""IRAN (ISLAMIC REPUBLIC OF)"""
,,,,,,108,"""IRAQ"""
,,,,,,109,"""IRELAND"""
,,,,,,110,"""ISLE OF MAN"""
,,,,,,111,"""ISRAEL"""
,,,,,,112,"""ITALY"""
,,,,,,113,"""JAMAICA"""
,,,,,,114,"""JAPAN"""
,,,,,,115,"""JERSEY"""
,,,,,,116,"""JORDAN"""
,,,,,,117,"""KAZAKHSTAN"""
,,,,,,118,"""KENYA"""
,,,,,,119,"""KIRIBATI"""
,,,,,,120,"""KUWAIT"""
,,,,,,121,"""KYRGYZSTAN"""
,,,,,,122,"""LAO PEOPLE'S DEMOCRATIC REPUBLIC"""
,,,,,,123,"""LATVIA"""
,,,,,,124,"""LEBANON"""
,,,,,,125,"""LESOTHO"""
,,,,,,126,"""LIBERIA"""
,,,,,,127,"""LIBYAN ARAB JAMAHIRIYA"""
,,,,,,128,"""LIECHTENSTEIN"""
,,,,,,129,"""LITHUANIA"""
,,,,,,130,"""LUXEMBOURG"""
,,,,,,131,"""MACAO SPECIAL ADMINISTRATIVE REGION OF CHINA"""
,,,,,,132,"""MADAGASCAR"""
,,,,,,133,"""MALAWI"""
,,,,,,134,"""MALAYSIA"""
,,,,,,135,"""MALDIVES"""
,,,,,,136,"""MALI"""
,,,,,,137,"""MALTA"""
,,,,,,138,"""MARSHALL ISLANDS"""
,,,,,,139,"""MARTINIQUE"""
,,,,,,140,"""MAURITANIA"""
,,,,,,141,"""MAURITIUS"""
,,,,,,142,"""MAYOTTE"""
,,,,,,143,"""MEXICO"""
,,,,,,144,"""MICRONESIA (FEDERATED STATES OF)"""
,,,,,,145,"""MONACO"""
,,,,,,146,"""MONGOLIA"""
,,,,,,147,"""MONTENEGRO"""
,,,,,,148,"""MONTSERRAT"""
,,,,,,149,"""MOROCCO"""
,,,,,,150,"""MOZAMBIQUE"""
,,,,,,151,"""MYANMAR"""
,,,,,,152,"""NAMIBIA"""
,,,,,,153,"""NAURU"""
,,,,,,154,"""NEPAL"""
,,,,,,155,"""NETHERLANDS"""
,,,,,,156,"""NETHERLANDS ANTILLES"""
,,,,,,157,"""NEW CALEDONIA"""
,,,,,,158,"""NEW ZEALAND"""
,,,,,,159,"""NICARAGUA"""
,,,,,,160,"""NIGER"""
,,,,,,161,"""NIGERIA"""
,,,,,,162,"""NIUE"""
,,,,,,163,"""NORFOLK ISLAND"""
,,,,,,164,"""NORTHERN MARIANA ISLANDS"""
,,,,,,165,"""NORWAY"""
,,,,,,166,"""OCCUPIED PALESTINIAN TERRITORY"""
,,,,,,167,"""OMAN"""
,,,,,,168,"""PAKISTAN"""
,,,,,,169,"""PALAU"""
,,,,,,170,"""PANAMA"""
,,,,,,171,"""PAPUA NEW GUINEA"""
,,,,,,172,"""PARAGUAY"""
,,,,,,173,"""PERU"""
,,,,,,174,"""PHILIPPINES"""
,,,,,,175,"""PITCAIRN"""
,,,,,,176,"""POLAND"""
,,,,,,177,"""PORTUGAL"""
,,,,,,178,"""PUERTO RICO"""
,,,,,,179,"""QATAR"""
,,,,,,180,"""REPUBLIC OF KOREA"""
,,,,,,181,"""REPUBLIC OF MOLDOVA"""
,,,,,,182,"""RÉUNION"""
,,,,,,183,"""ROMANIA"""
,,,,,,184,"""RUSSIAN FEDERATION"""
,,,,,,185,"""RWANDA"""
,,,,,,186,"""SAINT HELENA"""
,,,,,,187,"""SAINT KITTS AND NEVIS"""
,,,,,,188,"""SAINT LUCIA"""
,,,,,,189,"""SAINT PIERRE AND MIQUELON"""
,,,,,,190,"""SAINT VINCENT AND THE GRENADINES"""
,,,,,,191,"""SAINT-BARTHÉLEM"""
,,,,,,192,"""SAINT-MARTIN (FRENCH PART)"""
,,,,,,193,"""SAMOA"""
,,,,,,194,"""SAN MARINO"""
,,,,,,195,"""SAO TOME AND PRINCIPE"""
,,,,,,196,"""SAUDI ARABIA"""
,,,,,,197,"""SENEGAL"""
,,,,,,198,"""SERBIA"""
,,,,,,199,"""SEYCHELLES"""
,,,,,,200,"""SIERRA LEONE"""
,,,,,,201,"""SINGAPORE"""
,,,,,,202,"""SLOVAKIA"""
,,,,,,203,"""SLOVENIA"""
,,,,,,204,"""SOLOMON ISLANDS"""
,,,,,,205,"""SOMALIA"""
,,,,,,206,"""SOUTH AFRICA"""
,,,,,,207,"""SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS"""
,,,,,,208,"""SPAIN"""
,,,,,,209,"""SRI LANKA"""
,,,,,,210,"""SUDAN"""
,,,,,,211,"""SURINAME"""
,,,,,,212,"""SVALBARD AND JAN MAYEN ISLANDS"""
,,,,,,213,"""SWAZILAND"""
,,,,,,214,"""SWEDEN"""
,,,,,,215,"""SWITZERLAND"""
,,,,,,216,"""SYRIAN ARAB REPUBLIC"""
,,,,,,217,"""TAIWAN, PROVINCE OF CHINA"""
,,,,,,218,"""TAJIKISTAN"""
,,,,,,219,"""THAILAND"""
,,,,,,220,"""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"""
,,,,,,221,"""TIMOR-LEST"""
,,,,,,222,"""TOGO"""
,,,,,,223,"""TOKELAU"""
,,,,,,224,"""TONGA"""
,,,,,,225,"""TRINIDAD AND TOBAGO"""
,,,,,,226,"""TUNISIA"""
,,,,,,227,"""TURKEY"""
,,,,,,228,"""TURKMENISTAN"""
,,,,,,229,"""TURKS AND CAICOS ISLANDS"""
,,,,,,230,"""TUVALU"""
,,,,,,231,"""UGANDA"""
,,,,,,232,"""UKRAINE"""
,,,,,,233,"""UNITED ARAB EMIRATES"""
,,,,,,234,"""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"""
,,,,,,235,"""UNITED REPUBLIC OF TANZANIA"""
,,,,,,236,"""UNITED STATES MINOR OUTLYING ISLANDS"""
,,,,,,237,"""UNITED STATES OF AMERICA"""
,,,,,,238,"""UNITED STATES VIRGIN ISLANDS"""
,,,,,,239,"""URUGUAY"""
,,,,,,240,"""UZBEKISTAN"""
,,,,,,241,"""VANUATU"""
,,,,,,242,"""VENEZUELA (BOLIVARIAN REPUBLIC OF)"""
,,,,,,243,"""VIET NAM"""
,,,,,,244,"""WALLIS AND FUTUNA ISLANDS"""
,,,,,,245,"""WESTERN SAHARA"""
,,,,,,246,"""YEMEN"""
,,,,,,247,"""YUGOSLAVIA"""
,,,,,,248,"""ZAIRE"""
,,,,,,249,"""ZAMBIA"""
,,,,,,250,"""ZIMBABWE"""
,,,,,,999,"""OTHER"""
PatMInit,B,Yes,,,,,
,,,,,,,
PatPermAddr,B,,Yes,,,,
,,,,,,,
PatPermCity,B,,Yes,,,,
,,,,,,,
PatPermCountry,B,,Yes,,,,
,,,,,,1,"""AFGHANISTAN"""
,,,,,,2,"""ÅLAND ISLAND"""
,,,,,,3,"""ALBANIA"""
,,,,,,4,"""ALGERIA"""
,,,,,,5,"""AMERICAN SAMOA"""
,,,,,,6,"""ANDORRA"""
,,,,,,7,"""ANGOLA"""
,,,,,,8,"""ANGUILLA"""
,,,,,,9,"""ANTARCTICA"""
,,,,,,10,"""ANTIGUA AND BARBUDA"""
,,,,,,11,"""ARGENTINA"""
,,,,,,12,"""ARMENIA"""
,,,,,,13,"""ARUBA"""
,,,,,,14,"""AUSTRALIA"""
,,,,,,15,"""AUSTRIA"""
,,,,,,16,"""AZERBAIJAN"""
,,,,,,17,"""BAHAMAS"""
,,,,,,18,"""BAHRAIN"""
,,,,,,19,"""BANGLADESH"""
,,,,,,20,"""BARBADOS"""
,,,,,,21,"""BELARUS"""
,,,,,,22,"""BELGIUM"""
,,,,,,23,"""BELIZE"""
,,,,,,24,"""BENIN"""
,,,,,,25,"""BERMUDA"""
,,,,,,26,"""BHUTAN"""
,,,,,,27,"""BOLIVIA (PLURINATIONAL STATE OF)"""
,,,,,,28,"""BOSNIA AND HERZEGOVINA"""
,,,,,,29,"""BOTSWANA"""
,,,,,,30,"""BOUVET ISLAND"""
,,,,,,31,"""BRAZIL"""
,,,,,,32,"""BRITISH INDIAN OCEAN TERRITORY"""
,,,,,,33,"""BRITISH VIRGIN ISLANDS"""
,,,,,,34,"""BRUNEI DARUSSALAM"""
,,,,,,35,"""BULGARIA"""
,,,,,,36,"""BURKINA FASO"""
,,,,,,37,"""BURUNDI"""
,,,,,,38,"""CAMBODIA"""
,,,,,,39,"""CAMEROON"""
,,,,,,40,"""CANADA"""
,,,,,,41,"""CAPE VERDE"""
,,,,,,42,"""CAYMAN ISLANDS"""
,,,,,,43,"""CENTRAL AFRICAN REPUBLIC"""
,,,,,,44,"""CHAD"""
,,,,,,45,"""CHILE"""
,,,,,,46,"""CHINA"""
,,,,,,47,"""CHRISTMAS ISLAND"""
,,,,,,48,"""COCOS (KEELING) ISLANDS"""
,,,,,,49,"""COLOMBIA"""
,,,,,,50,"""COMOROS"""
,,,,,,51,"""CONGO"""
,,,,,,52,"""COOK ISLANDS"""
,,,,,,53,"""COSTA RICA"""
,,,,,,54,"""CÔTE D'IVOIRE"""
,,,,,,55,"""CROATIA"""
,,,,,,56,"""CUBA"""
,,,,,,57,"""CYPRUS"""
,,,,,,58,"""CZECH REPUBLIC"""
,,,,,,59,"""DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA"""
,,,,,,60,"""DEMOCRATIC REPUBLIC OF THE CONGO"""
,,,,,,61,"""DENMARK"""
,,,,,,62,"""DJIBOUTI"""
,,,,,,63,"""DOMINICA"""
,,,,,,64,"""DOMINICAN REPUBLIC"""
,,,,,,65,"""EAST TIMOR"""
,,,,,,66,"""ECUADOR"""
,,,,,,67,"""EGYPT"""
,,,,,,68,"""EL SALVADOR"""
,,,,,,69,"""EQUATORIAL GUINEA"""
,,,,,,70,"""ERITREA"""
,,,,,,71,"""ESTONIA"""
,,,,,,72,"""ETHIOPIA"""
,,,,,,73,"""FAEROE ISLANDS"""
,,,,,,74,"""FALKLAND ISLANDS (MALVINAS)"""
,,,,,,75,"""FIJI"""
,,,,,,76,"""FINLAND"""
,,,,,,77,"""FRANCE"""
,,,,,,78,"""FRANCE, METROPOLITAN"""
,,,,,,79,"""FRENCH GUIANA"""
,,,,,,80,"""FRENCH POLYNESIA"""
,,,,,,81,"""FRENCH SOUTHERN TERRITORIES"""
,,,,,,82,"""GABON"""
,,,,,,83,"""GAMBIA"""
,,,,,,84,"""GEORGIA"""
,,,,,,85,"""GERMANY"""
,,,,,,86,"""GHANA"""
,,,,,,87,"""GIBRALTAR"""
,,,,,,88,"""GREECE"""
,,,,,,89,"""GREENLAND"""
,,,,,,90,"""GRENADA"""
,,,,,,91,"""GUADELOUPE"""
,,,,,,92,"""GUAM"""
,,,,,,93,"""GUATEMALA"""
,,,,,,94,"""GUERNSE"""
,,,,,,95,"""GUINEA"""
,,,,,,96,"""GUINEA-BISSAU"""
,,,,,,97,"""GUYANA"""
,,,,,,98,"""HAITI"""
,,,,,,99,"""HEARD AND MC DONALD ISLANDS"""
,,,,,,100,"""HOLY SEE"""
,,,,,,101,"""HONDURAS"""
,,,,,,102,"""HONG KONG SPECIAL ADMINISTRATIVE REGION OF CHINA"""
,,,,,,103,"""HUNGARY"""
,,,,,,104,"""ICELAND"""
,,,,,,105,"""INDIA"""
,,,,,,106,"""INDONESIA"""
,,,,,,107,"""IRAN (ISLAMIC REPUBLIC OF)"""
,,,,,,108,"""IRAQ"""
,,,,,,109,"""IRELAND"""
,,,,,,110,"""ISLE OF MAN"""
,,,,,,111,"""ISRAEL"""
,,,,,,112,"""ITALY"""
,,,,,,113,"""JAMAICA"""
,,,,,,114,"""JAPAN"""
,,,,,,115,"""JERSEY"""
,,,,,,116,"""JORDAN"""
,,,,,,117,"""KAZAKHSTAN"""
,,,,,,118,"""KENYA"""
,,,,,,119,"""KIRIBATI"""
,,,,,,120,"""KUWAIT"""
,,,,,,121,"""KYRGYZSTAN"""
,,,,,,122,"""LAO PEOPLE'S DEMOCRATIC REPUBLIC"""
,,,,,,123,"""LATVIA"""
,,,,,,124,"""LEBANON"""
,,,,,,125,"""LESOTHO"""
,,,,,,126,"""LIBERIA"""
,,,,,,127,"""LIBYAN ARAB JAMAHIRIYA"""
,,,,,,128,"""LIECHTENSTEIN"""
,,,,,,129,"""LITHUANIA"""
,,,,,,130,"""LUXEMBOURG"""
,,,,,,131,"""MACAO SPECIAL ADMINISTRATIVE REGION OF CHINA"""
,,,,,,132,"""MADAGASCAR"""
,,,,,,133,"""MALAWI"""
,,,,,,134,"""MALAYSIA"""
,,,,,,135,"""MALDIVES"""
,,,,,,136,"""MALI"""
,,,,,,137,"""MALTA"""
,,,,,,138,"""MARSHALL ISLANDS"""
,,,,,,139,"""MARTINIQUE"""
,,,,,,140,"""MAURITANIA"""
,,,,,,141,"""MAURITIUS"""
,,,,,,142,"""MAYOTTE"""
,,,,,,143,"""MEXICO"""
,,,,,,144,"""MICRONESIA (FEDERATED STATES OF)"""
,,,,,,145,"""MONACO"""
,,,,,,146,"""MONGOLIA"""
,,,,,,147,"""MONTENEGRO"""
,,,,,,148,"""MONTSERRAT"""
,,,,,,149,"""MOROCCO"""
,,,,,,150,"""MOZAMBIQUE"""
,,,,,,151,"""MYANMAR"""
,,,,,,152,"""NAMIBIA"""
,,,,,,153,"""NAURU"""
,,,,,,154,"""NEPAL"""
,,,,,,155,"""NETHERLANDS"""
,,,,,,156,"""NETHERLANDS ANTILLES"""
,,,,,,157,"""NEW CALEDONIA"""
,,,,,,158,"""NEW ZEALAND"""
,,,,,,159,"""NICARAGUA"""
,,,,,,160,"""NIGER"""
,,,,,,161,"""NIGERIA"""
,,,,,,162,"""NIUE"""
,,,,,,163,"""NORFOLK ISLAND"""
,,,,,,164,"""NORTHERN MARIANA ISLANDS"""
,,,,,,165,"""NORWAY"""
,,,,,,166,"""OCCUPIED PALESTINIAN TERRITORY"""
,,,,,,167,"""OMAN"""
,,,,,,168,"""PAKISTAN"""
,,,,,,169,"""PALAU"""
,,,,,,170,"""PANAMA"""
,,,,,,171,"""PAPUA NEW GUINEA"""
,,,,,,172,"""PARAGUAY"""
,,,,,,173,"""PERU"""
,,,,,,174,"""PHILIPPINES"""
,,,,,,175,"""PITCAIRN"""
,,,,,,176,"""POLAND"""
,,,,,,177,"""PORTUGAL"""
,,,,,,178,"""PUERTO RICO"""
,,,,,,179,"""QATAR"""
,,,,,,180,"""REPUBLIC OF KOREA"""
,,,,,,181,"""REPUBLIC OF MOLDOVA"""
,,,,,,182,"""RÉUNION"""
,,,,,,183,"""ROMANIA"""
,,,,,,184,"""RUSSIAN FEDERATION"""
,,,,,,185,"""RWANDA"""
,,,,,,186,"""SAINT HELENA"""
,,,,,,187,"""SAINT KITTS AND NEVIS"""
,,,,,,188,"""SAINT LUCIA"""
,,,,,,189,"""SAINT PIERRE AND MIQUELON"""
,,,,,,190,"""SAINT VINCENT AND THE GRENADINES"""
,,,,,,191,"""SAINT-BARTHÉLEM"""
,,,,,,192,"""SAINT-MARTIN (FRENCH PART)"""
,,,,,,193,"""SAMOA"""
,,,,,,194,"""SAN MARINO"""
,,,,,,195,"""SAO TOME AND PRINCIPE"""
,,,,,,196,"""SAUDI ARABIA"""
,,,,,,197,"""SENEGAL"""
,,,,,,198,"""SERBIA"""
,,,,,,199,"""SEYCHELLES"""
,,,,,,200,"""SIERRA LEONE"""
,,,,,,201,"""SINGAPORE"""
,,,,,,202,"""SLOVAKIA"""
,,,,,,203,"""SLOVENIA"""
,,,,,,204,"""SOLOMON ISLANDS"""
,,,,,,205,"""SOMALIA"""
,,,,,,206,"""SOUTH AFRICA"""
,,,,,,207,"""SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS"""
,,,,,,208,"""SPAIN"""
,,,,,,209,"""SRI LANKA"""
,,,,,,210,"""SUDAN"""
,,,,,,211,"""SURINAME"""
,,,,,,212,"""SVALBARD AND JAN MAYEN ISLANDS"""
,,,,,,213,"""SWAZILAND"""
,,,,,,214,"""SWEDEN"""
,,,,,,215,"""SWITZERLAND"""
,,,,,,216,"""SYRIAN ARAB REPUBLIC"""
,,,,,,217,"""TAIWAN, PROVINCE OF CHINA"""
,,,,,,218,"""TAJIKISTAN"""
,,,,,,219,"""THAILAND"""
,,,,,,220,"""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"""
,,,,,,221,"""TIMOR-LEST"""
,,,,,,222,"""TOGO"""
,,,,,,223,"""TOKELAU"""
,,,,,,224,"""TONGA"""
,,,,,,225,"""TRINIDAD AND TOBAGO"""
,,,,,,226,"""TUNISIA"""
,,,,,,227,"""TURKEY"""
,,,,,,228,"""TURKMENISTAN"""
,,,,,,229,"""TURKS AND CAICOS ISLANDS"""
,,,,,,230,"""TUVALU"""
,,,,,,231,"""UGANDA"""
,,,,,,232,"""UKRAINE"""
,,,,,,233,"""UNITED ARAB EMIRATES"""
,,,,,,234,"""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"""
,,,,,,235,"""UNITED REPUBLIC OF TANZANIA"""
,,,,,,236,"""UNITED STATES MINOR OUTLYING ISLANDS"""
,,,,,,237,"""UNITED STATES OF AMERICA"""
,,,,,,238,"""UNITED STATES VIRGIN ISLANDS"""
,,,,,,239,"""URUGUAY"""
,,,,,,240,"""UZBEKISTAN"""
,,,,,,241,"""VANUATU"""
,,,,,,242,"""VENEZUELA (BOLIVARIAN REPUBLIC OF)"""
,,,,,,243,"""VIET NAM"""
,,,,,,244,"""WALLIS AND FUTUNA ISLANDS"""
,,,,,,245,"""WESTERN SAHARA"""
,,,,,,246,"""YEMEN"""
,,,,,,247,"""YUGOSLAVIA"""
,,,,,,248,"""ZAIRE"""
,,,,,,249,"""ZAMBIA"""
,,,,,,250,"""ZIMBABWE"""
,,,,,,999,"""OTHER"""
PatPermRegion,B,,Yes,,,,
,,,,,,,
PatPermZIP,B,,Yes,,,,
,,,,,,,
HospName,C,Yes,Yes,Yes,Yes,,
,,,,,,,
HospZIP,C,Yes,Yes,Yes,Yes,,
,,,,,,,
